,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,Southernly distribution (place),,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,,,,
Baeolophus_bicolor,Tufted titmouse,22.77,32.2,15,Pollock et al. 2019,Winter,,,"La Crosse, Wisconsin, USA","Midland, Michigan, USA","Killington, Vermont, USA","Manchester, New Hampshire, USA","Eau Claire, Wisconsin, USA","Tampa, Florida, USA","Tampa, Florida, USA","Tampa, Florida, USA","Tampa, Florida, USA","Tampa, Florida, USA","April 27, 2019","June 8, 2018","May 22, 2017","May 2, 2016","May 6, 2015",39.16,67.42,51.03,45.73,61.22,34,59,46,42,52,46,77,54,49,76,"March 9, 2019","January 10, 2018","February 16, 2017","January 30, 2016","February 7, 2015",72.17,70.4,62.42,59.33,59.17,62,67,54,51,48,83,77,68,67,71,77,68,79.6,76,78.6,77,75,78.4,78.7,80.4,60.5,45.5,58,59,59,60.6,57.4,61.2,61.4,56.8,68,57.8,67.7,66.6,68.3,68.3,65.7,69,70.4,71.4,,,
Gymnopithys_bicolor,Bicolored Antbird,29.56,34,27,Pollock et al. 2019,Summer,,,"La Ceiba, Honduras","La Ceiba, Honduras","La Ceiba, Honduras","Liberia, Costa Rica","Siuna, Nicaragua","Jama, Ecuador","Quito, Ecuador","Jama, Ecuador","Puerto Lopez, Ecuador","Santo Domingo, Ecuador","March 14, 2019","July 14, 2018","April 2, 2017","April 24, 2016","April 16, 2015",n/a,n/a,n/a,n/a,n/a,68,73,70,79,72,91,88,90,97,86,"November 25, 2019","December 13, 2018","December 6, 2017","October 18, 2016","November 17, 2015",n/a,62,n/a,n/a,n/a,73,54,72,70,73,84,66,90,77,81,85,85,82,82.6,87,n/a,n/a,n/a,n/a,n/a,71.4,66,65,66.2,58,n/a,n/a,n/a,n/a,n/a,78.6,78.2,75.6,76,80.3,n/a,n/a,n/a,n/a,n/a,,,
Thamnophilus_atrinucha,Black-crowned Antshrike,20.46,35,26.5,Pollock et al. 2019,Summer,,,"Placencia, Belize","Trio, Belize","Trio, Belize","Trio, Belize","La Ceiba, Honduras","Tumbes, Peru","Tumbes, Peru","Tumbes, Peru","Pinas, Ecuador","Pinas, Ecuador","May 16, 2019","March 30, 2018","April 3, 2017","March 1, 2016","May 17, 2015",n/a,n/a,n/a,n/a,n/a,77,72,72,68,73,90,86,90,82,88,"July 27, 2019","August 14, 2018","December 23, 2017","November 1, 2016","November 5, 2015",n/a,n/a,n/a,n/a,n/a,70,70,73,68,n/a,77,73,82,79,n/a,87,87,88,88,87.9,n/a,n/a,n/a,n/a,n/a,67.9,68.7,65,66,65,n/a,n/a,n/a,n/a,n/a,79.6,78.77,81,83.2,79.6,n/a,n/a,n/a,n/a,n/a,,,
Thamnophilus_atrinucha,Black-crowned Antshrike,19.31,*,28,Pollock et al. 2019,Winter,,,"Placencia, Belize","Trio, Belize","Trio, Belize","Trio, Belize","La Ceiba, Honduras","Tumbes, Peru","Tumbes, Peru","Tumbes, Peru","Pinas, Ecuador","Pinas, Ecuador","May 16, 2019","March 30, 2018","April 3, 2017","March 1, 2016","May 17, 2015",n/a,n/a,n/a,n/a,n/a,77,72,72,68,73,90,86,90,82,88,"July 27, 2019","August 14, 2018","December 23, 2017","November 1, 2016","November 5, 2015",n/a,n/a,n/a,n/a,n/a,70,70,73,68,n/a,77,73,82,79,n/a,87,87,88,88,87.9,n/a,n/a,n/a,n/a,n/a,67.9,68.7,65,66,65,n/a,n/a,n/a,n/a,n/a,79.6,78.77,81,83.2,79.6,n/a,n/a,n/a,n/a,n/a,,,
Formicarius_analis,Black-faced Antthrush,59.68,*,24,Pollock et al. 2019,Summer,,,"Cancún, Mexico","Playa del Carmen, Mexico","Playa del Carmen, Mexico","Playa del Carmen, Mexico","Cancún, Mexico","Tumupasa, Bolivia","La Paz, Bolivia","Cochabamba, Bolivia","Puerto Maldonado, Peru","Tumupasa, Bolivia","November 7, 2019","December 23, 2018","December 18, 2017","April 17, 2016","January 17, 2015",81.08,70.25,79,81.7,72.61,77,61,77,79,68,86,77,82,86,81,"October 13, 2019","October 6, 2018","July 22, 2017","September 10, 2016","September 16, 2015",46.61,47.13,43.29,44.21,47.17,30,36,25,28,34,63,59,63,63,63,87.5,85,87,88,86.88,61,62.6,64.2,62,61,80,73,76.4,77.2,77,39,39,37.37,36.2,37,82.8,79.3,81,82,82,48.99,50,50.5,49,49.44,,,
Formicarius_analis,Black-faced Antthrush,58.5,34.75,30,Pollock et al. 2019,Winter,,,"Cancún, Mexico","Playa del Carmen, Mexico","Playa del Carmen, Mexico","Playa del Carmen, Mexico","Cancún, Mexico","Tumupasa, Bolivia","La Paz, Bolivia","Cochabamba, Bolivia","Puerto Maldonado, Peru","Tumupasa, Bolivia","November 7, 2019","December 23, 2018","December 18, 2017","April 17, 2016","January 17, 2015",81.08,70.25,79,81.7,72.61,77,61,77,79,68,86,77,82,86,81,"October 13, 2019","October 6, 2018","July 22, 2017","September 10, 2016","September 16, 2015",46.61,47.13,43.29,44.21,47.17,30,36,25,28,34,63,59,63,63,63,87.5,85,87,88,86.88,61,62.6,64.2,62,61,80,73,76.4,77.2,77,39,39,37.37,36.2,37,82.8,79.3,81,82,82,48.99,50,50.5,49,49.44,,,
Myiobius_atricaudus,Black-tailed Flycatcher,8.43,36.5,25,Pollock et al. 2019,Summer,,,"Jaco, Costa Rica","Jaco, Costa Rica","Jaco, Costa Rica","Jaco, Costa Rica","Jaco, Costa Rica","Joinville, Brazil","Curitiba, Brazil","Joinville, Brazil","Joinville, Brazil","Joinville, Brazil","July 26, 2019","August 27, 2018","June 24, 2017","July 9, 2016","October 7, 2015",71.85,72.36,75.23,75.31,75.07,68,66,70,70,70,79,79,82,81,82,"January 24, 2019","May 5, 2018","January 19, 2017","October 4, 2016","June 6, 2015",70.52,58.58,67.93,60.17,57.68,60.8,52,64,55,46.9,82,79,72,70,73,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Myiobius_atricaudus,Black-tailed Flycatcher,9.32,*,26.75,Pollock et al. 2019,Winter,,,"Jaco, Costa Rica","Jaco, Costa Rica","Jaco, Costa Rica","Jaco, Costa Rica","Jaco, Costa Rica","Joinville, Brazil","Curitiba, Brazil","Joinville, Brazil","Joinville, Brazil","Joinville, Brazil","July 26, 2019","August 27, 2018","June 24, 2017","July 9, 2016","October 7, 2015",71.58,72.36,75.23,75.31,75.07,68,66,70,70,70,79,79,82,81,82,"January 24, 2019","May 5, 2018","January 19, 2017","October 4, 2016","June 6, 2015",70.52,58.58,67.93,60.17,57.68,60.8,52,64,55,46.9,82,79,72,70,73,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Cyanoloxia_cyanoides,Blue-black Grosbeak,27.67,35,*,Pollock et al. 2019,Summer,,,"Cancún, Mexico","Chetumal, Mexico","Campeche, Mexico",Belize City,"Belize City, Belize","Pinas, Ecuador","Pinas, Ecuador","Pinas, Ecuador","Pinas, Ecuador","Pinas, Ecuador","March 11, 2019","April 1, 2018","June 24, 2017","March 18, 2016","March 14, 2015",n/a,n/a,n/a,82.75,81.81,81,70,75,77,79,97,88,93,86,86,"November 29, 2019","October 29, 2018","November 8, 2017","October 28, 2016","November 8, 2015",n/a,n/a,n/a,n/a,n/a,73,70,70,70,73,81,75,77,79,86,88.2,87,88.3,88.4,88,n/a,n/a,n/a,n/a,n/a,73.9,73.4,74,75,73,n/a,n/a,n/a,n/a,n/a,83,82,83,84,83.5,n/a,n/a,n/a,n/a,n/a,,,
Cyanoloxia_cyanoides,Blue-black Grosbeak,28.1,*,25.7,Pollock et al. 2019,Winter,,,"Cancún, Mexico","Chetumal, Mexico","Campeche, Mexico",Belize City,"Belize City, Belize","Pinas, Ecuador","Pinas, Ecuador","Pinas, Ecuador","Pinas, Ecuador","Pinas, Ecuador","March 11, 2019","April 1, 2018","June 24, 2017","March 18, 2016","March 14, 2015",n/a,n/a,n/a,82.75,81.81,81,70,75,77,79,97,88,93,86,86,"November 29, 2019","October 29, 2018","November 8, 2017","October 28, 2016","November 8, 2015",n/a,n/a,n/a,n/a,n/a,73,70,70,70,73,81,75,77,79,86,88.2,87,88.3,88.4,88,n/a,n/a,n/a,n/a,n/a,73.9,73.4,74,75,73,n/a,n/a,n/a,n/a,n/a,83,82,83,84,83.5,n/a,n/a,n/a,n/a,n/a,,,
Amazilia_amabilis,Blue-chested Hummingbird,3.94,*,28,Pollock et al. 2019,Summer (nothing for winter),,,"Los Chiles, Costa Rica","Santa Cruz, Nicaragua","La Fortuna, Costa Rica","Santa Cruz, Nicaragua","Los Chiles, Costa Rica","Guayaquil, Ecuador","Santo Domingo, Ecuador","Guayaquil, Ecuador","Guayaquil, Ecuador","Santo Domingo, Ecuador","May 2, 2019","May 5, 2018","June 10, 2017","March 4, 2016","April 10, 2015",n/a,n/a,n/a,n/a,n/a,79,73,75,73,81,97,95,82,93,95,"December 26, 2019","January 5, 2018","January 29, 2017","January 11, 2016","January 14, 2015",n/a,n/a,n/a,n/a,n/a,77,73,75,77,77,90,81,84,86,91,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Thraupis_episcopus,Blue-gray Tanager,28.76,36.25,24.5,Pollock et al. 2019,Summer,,,"Esteli, Nicaragua","Managua, Nicaragua","Nueva Guinea, Nicaragua","Río Blanco, Nicaragua","Esteli, Nicaragua","Rurrenabaque, Bolivia","Cusco, Peru","Cusco, Peru","Cusco, Peru","Puerto Maldonado, Peru","May 4, 2019","May 5, 2018","April 20, 2017","June 25, 2016","May 5, 2015",n/a,n/a,n/a,n/a,n/a,79,75,75,75,77,93,97,97,90,95,"October 19, 2019","November 24, 2018","November 20, 2017","October 24, 2016","October 4, 2015",n/a,60.2,59.74,54.85,58.63,73,54,46,48,45,84,68,73,59,72,88.6,86.6,87.6,88.8,90.7,68,66,67,71,65,20,27,35,30,30.9,43,41,46,48,43.5,71.6,73,76.7,75.5,78.9,56.9,55.4,56.66,59.4,55,,,
Thraupis_episcopus,Blue-gray Tanager,29,*,26,Pollock et al. 2019,Winter,,,"Esteli, Nicaragua","Managua, Nicaragua","Nueva Guinea, Nicaragua","Río Blanco, Nicaragua","Esteli, Nicaragua","Rurrenabaque, Bolivia","Cusco, Peru","Cusco, Peru","Cusco, Peru","Puerto Maldonado, Peru","May 4, 2019","May 5, 2018","April 20, 2017","June 25, 2016","May 5, 2015",n/a,n/a,n/a,n/a,n/a,79,75,75,75,77,93,97,97,90,95,"October 19, 2019","November 24, 2018","November 20, 2017","October 24, 2016","October 4, 2015",n/a,60.2,59.74,54.85,58.63,73,54,46,48,45,84,68,73,59,72,88.6,86.6,87.6,88.8,90.7,68,66,67,71,65,20,27,35,30,30.9,43,41,46,48,43.5,71.6,73,76.7,75.5,78.9,56.9,55.4,56.66,59.4,55,,,
Cantorchilus_leucotis,Buff-breasted Wren,18.01,*,25.75,Pollock et al. 2019,Summer,,,"Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Ribeirao Preto, Brazil","Ribeirao Preto, brazil","São Carlos, Brazil","Campinas, Brazil","Franca, Brazil","March 12, 2019","February 26, 2018","February 14, 2017","February 18, 2016","February 26, 2015",86.17,81.39,83.56,86.56,87.83,79,73,73,81,86,95,90,91,95,91,"November 10, 2019","November 29, 2018","September 13, 2017","October 27, 2016","November 13, 2015",78.04,79.91,84.6,77.04,79.17,70,66,77,72,65.4,86,91,93,86,95,89.5,90,90.4,89,90,83,85,88,85,85,69.8,77,75,75.4,80,70.1,74.3,77,54.4,74,83,83.8,84.5,83.8,85.5,77.6,78.8,82,73.6,78,,,
Cantorchilus_leucotis,Buff-breasted Wren,16.5,36,*,Pollock et al. 2019,Winter,,,"Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Ribeirao Preto, brazil","Ribeirao Preto, brazil","São Carlos, Brazil","Campinas, Brazil","Franca, Brazil","March 12, 2019","February 26, 2018","February 14, 2017","February 18, 2016","February 26, 2015",86.17,81.39,83.56,86.56,87.83,79,73,73,81,86,95,90,91,95,91,"November 10, 2019","November 29, 2018","September 13, 2017","October 27, 2016","November 13, 2015",78.04,79.91,84.6,77.04,79.17,70,66,77,72,65.4,86,91,93,86,95,89.5,90,90.4,89,90,83,85,88,85,85,69.8,77,75,75.4,80,70.1,74.3,77,54.4,74,83,83.8,84.5,83.8,85.5,77.6,78.8,82,73.6,78,,,
Saltator_maximus,Buff-throated Saltator,41.94,35.5,*,Pollock et al. 2019,Summer,,,"Esteli, Nicaragua","Esteli, Nicaragua","Villahermosa, Mexico","Tegucigalpa, Honduras","Esteli, Nicaragua","Brasília, Brazil","Vitoria, Brazil","Rio de Janeiro, Brazil","Rio de Janeiro, Brazil","Aracaju, Brazil","March 7, 2019","March 10, 2018","April 16, 2017","April 24, 2016","May 5, 2015",n/a,n/a,n/a,77.79,n/a,64,68,72,68,73,82,90,91,91,95,"October 4, 2019","October 20, 2018","September 18, 2017","September 9, 2016","December 18, 2015",81,74.52,71.08,72.35,79.68,66,72,66,70,75,93,77,79,73,84,n/a,n/a,n/a,n/a,n/a,85.2,83,85,80,84.8,n/a,n/a,n/a,n/a,n/a,55,35.5,46.6,37,57,n/a,n/a,n/a,n/a,n/a,75,71,73,69.5,73.9,,,
Saltator_maximus,Buff-throated Saltator,47.72,*,25,Pollock et al. 2019,Winter,,,"Esteli, Nicaragua","Esteli, Nicaragua","Villahermosa, Mexico","Tegucigalpa, Honduras","Esteli, Nicaragua","Brasília, Brazil","Vitoria, Brazil","Rio de Janeiro, Brazil","Rio de Janeiro, Brazil","Aracaju, Brazil","March 7, 2019","March 10, 2018","April 16, 2017","April 24, 2016","May 5, 2015",n/a,n/a,n/a,77.79,n/a,64,68,72,68,73,82,90,91,91,95,"October 4, 2019","October 20, 2018","September 18, 2017","September 9, 2016","December 18, 2015",81,74.52,71.08,72.35,79.68,66,72,66,70,75,93,77,79,73,84,n/a,n/a,n/a,n/a,n/a,85.2,83,85,80,84.8,n/a,n/a,n/a,n/a,n/a,55,35.5,46.6,37,57,n/a,n/a,n/a,n/a,n/a,75,71,73,69.5,73.9,,,
Poliocrania_exsul,Chestnut-backed Antbird,26.26,35.25,25,Pollock et al. 2019,Summer,,,"Puerto Jiménez, Costa Rica","Puerto Jiménez, Costa Rica","Limon, Costa Rica","Puerto Jiménez, Costa Rica","Puerto Jiménez, Costa Rica","Manta, Ecuador","Tumaco, Colombia","Tumaco, Colombia","Quito, Ecuador","Quito, Ecuador","May 19, 2019","April 16, 2018","April 15, 2017","April 5, 2016","March 7, 2015",74.78,75.54,n/a,74.79,71.92,66,68,73,70,66,81,81,82,79,77,"November 25, 2019","October 6, 2018","November 29, 2017","November 11, 2016","November 18, 2015",n/a,n/a,n/a,59.8,60.8,59,57,61,55,53,73,73,72,68,67,85,84.2,86.4,85.5,84,n/a,n/a,n/a,n/a,n/a,71,74,73.9,74.7,71.5,n/a,n/a,n/a,n/a,n/a,80.6,80.33,82,81.6,80,n/a,n/a,n/a,n/a,n/a,,,
Poliocrania_exsul,Chestnut-backed Antbird,24.75,*,25.5,Pollock et al. 2019,Winter,,,"Puerto Jiménez, Costa Rica","Puerto Jiménez, Costa Rica","Limon, Costa Rica","Puerto Jiménez, Costa Rica","Puerto Jiménez, Costa Rica","Manta, Ecuador","Tumaco, Colombia","Tumaco, Colombia","Quito, Ecuador","Quito, Ecuador","May 19, 2019","April 16, 2018","April 15, 2017","April 5, 2016","March 7, 2015",74.78,75.54,n/a,74.79,71.92,66,68,73,70,66,81,81,82,79,77,"November 25, 2019","October 6, 2018","November 29, 2017","November 11, 2016","November 18, 2015",n/a,n/a,n/a,59.8,60.8,59,57,61,55,53,73,73,72,68,67,85,84.2,86.4,85.5,84,n/a,n/a,n/a,n/a,n/a,71,74,73.9,74.7,71.5,n/a,n/a,n/a,n/a,n/a,80.6,80.33,82,81.6,80,n/a,n/a,n/a,n/a,n/a,,,
Turdus_grayi,Clay-colored Thrush,70.14,35,28,Pollock et al. 2019,Summer,,,"Monterrey, Mexico","Monterrey, Mexico","Monterrey, Mexico","Monterrey, Mexico","San Luis Potosí, Mexico","Medellín, Colombia","Rio Hato, Panama","Rio Hato, Panama","Medellín, Colombia","Las Tablas, Panama","February 9, 2019","March 19, 2018","April 8, 2017","May 13, 2016","April 17, 2015",43.37,78.44,70.75,76.69,n/a,43,64,63,55,39,45,91,82,95,64,"November 15, 2019","October 18, 2018","November 13, 2017","November 6, 2016","October 15, 2015",n/a,n/a,n/a,n/a,n/a,66,66,68,64,77,81,75,79,79,88,89,88,89.77,90.3,91,n/a,n/a,n/a,n/a,n/a,70.2,72,71,72,71,n/a,n/a,n/a,n/a,n/a,79.5,77.8,79,79.9,79.7,n/a,n/a,n/a,n/a,n/a,,,
Turdus_grayi,Clay-colored Thrush,70.01,36,27,Pollock et al. 2019,Winter,,,"Monterrey, Mexico","Monterrey, Mexico","Monterrey, Mexico","Monterrey, Mexico","San Luis Potosí, Mexico","Medellín, Colombia","Rio Hato, Panama","Rio Hato, Panama","Medellín, Colombia","Las Tablas, Panama","February 9, 2019","March 19, 2018","April 8, 2017","May 13, 2016","April 17, 2015",43.37,78.44,70.75,76.69,n/a,43,64,63,55,39,45,91,82,95,64,"November 15, 2019","October 18, 2018","November 13, 2017","November 6, 2016","October 15, 2015",n/a,n/a,n/a,n/a,n/a,66,66,68,64,77,81,75,79,79,88,89,88,89.77,90.3,91,n/a,n/a,n/a,n/a,n/a,70.2,72,71,72,71,n/a,n/a,n/a,n/a,n/a,79.5,77.8,79,79.9,79.7,n/a,n/a,n/a,n/a,n/a,,,
Xiphorhynchus_susurrans,Cocoa Woodcreeper,40.88,36.67,26,Pollock et al. 2019,Summer,,,"La Ceiba, Honduras","La Ceiba, Honduras","Wampusirpi, Honduras","Catacamas, Honduras","Mulukuku, Honduras","Medellín, Colombia","Cali, Colombia","Cali, Colombia","Bogota, Colombia","Cali, Colombia","April 13, 2019","May 7, 2018","May 8, 2017","April 15, 2016","February 12, 2015",n/a,n/a,n/a,n/a,n/a,75,70,75,72,66,93,86,86,88,81,"January 16, 2019","January 18, 2018","December 4, 2017","January 19, 2016","February 8, 2015",n/a,n/a,n/a,n/a,n/a,66,66,66,68,66,84,82,84,91,82,85,85,84,85.77,84,87,87.2,83.3,87.7,86.5,66,66.2,61,72,63.3,62,65,62.5,62.5,51.8,77,77.3,77,81.5,76.8,75.3,75,72.8,75.9,74,,,
Xiphorhynchus_susurrans,Cocoa Woodcreeper,42.58,*,27.5,Pollock et al. 2019,Winter,,,"La Ceiba, Honduras","La Ceiba, Honduras","Wampusirpi, Honduras","Catacamas, Honduras","Mulukuku, Honduras","Medellín, Colombia","Cali, Colombia","Cali, Colombia","Bogota, Colombia","Cali, Colombia","April 13, 2019","May 7, 2018","May 8, 2017","April 15, 2016","February 12, 2015",n/a,n/a,n/a,n/a,n/a,75,70,75,72,66,93,86,86,88,81,"January 16, 2019","January 18, 2018","December 4, 2017","January 19, 2016","February 8, 2015",n/a,n/a,n/a,n/a,n/a,66,66,66,68,66,84,82,84,91,82,85,85,84,85.77,84,87,87.2,83.3,87.7,86.5,66,66.2,61,72,63.3,62,65,62.5,62.5,51.8,77,77.3,77,81.5,76.8,75.3,75,72.8,75.9,74,,,
Ramphocelus_dimidiatus,Crimson-backed Tanager,25.31,35.6,26.67,Pollock et al. 2019,Summer,,,"Colón, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Popayán, Colombia","Cali, Colombia","Popayán, Colombia","Bogota, Colombia","Florencia, Colombia","January 18, 2019","January 24, 2018","January 24, 2017","January 26, 2016","December 15, 2015",84.21,85.65,81.69,86.33,83.72,77,75,70,75,79,91,95,88,93,86,"May 2, 2019","May 5, 2018","April 23, 2017","May 28, 2016","May 19, 2015",n/a,n/a,n/a,n/a,n/a,68,59,61,61,63,79,72,77,73,81,93,93,91,93,92,n/a,n/a,n/a,n/a,n/a,69,68.6,75,77.5,77.1,n/a,n/a,n/a,n/a,n/a,84.3,83.8,84,85.8,85,n/a,n/a,n/a,n/a,n/a,,,
Ramphocelus_dimidiatus,Crimson-backed Tanager,25.43,36.5,23.75,Pollock et al. 2019,Winter,,,"Colón, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Santa Marta, Colombia","Popayán, Colombia","Cali, Colombia","Popayán, Colombia","Bogota, Colombia","Florencia, Colombia","January 18, 2019","January 24, 2018","January 24, 2017","January 26, 2016","December 15, 2015",84.21,85.65,81.69,86.33,83.72,77,75,70,75,79,91,95,88,93,86,"May 2, 2019","May 5, 2018","April 23, 2017","May 28, 2016","May 19, 2015",n/a,n/a,n/a,n/a,n/a,68,59,61,61,63,79,72,77,73,81,93,93,91,93,92,n/a,n/a,n/a,n/a,n/a,69,68.6,75,77.5,77.1,n/a,n/a,n/a,n/a,n/a,84.3,83.8,84,85.8,85,n/a,n/a,n/a,n/a,n/a,,,
Cercomacroides_tyrannina,Dusky Antbird,15.07,37.25,29,Pollock et al. 2019,Summer,,,"Wampusirpi, Honduras","Comitán, Mexico","Villahermosa, Mexico","Villahermosa, Mexico","Villahermosa, Mexico","Manaus, Brazil","Manaus, Brazil","Manaus, Brazil","Esmeraldas, Ecuador","Mitú, Colombia","February 27, 2019","February 16, 2018","February 25, 2017","January 29, 2016","February 26, 2015",n/a,n/a,n/a,77,n/a,73,77,73,75,72,86,84,90,79,88,"June 7, 2019","June 2, 2018","June 6, 2017","July 17, 2016","July 7, 2015",82,67.42,82.04,72,72.03,73,63,73,61.9,64,93,73,93,89.5,82,n/a,n/a,n/a,n/a,n/a,86,85,85,86.9,87,n/a,n/a,n/a,n/a,n/a,50,54.2,62,63,65.3,n/a,n/a,n/a,n/a,n/a,77.2,76.33,77.7,79,79,,,
Cercomacroides_tyrannina,Dusky Antbird,14.5,37,29.5,Pollock et al. 2019,Winter,,,"Wampusirpi, Honduras","Comitán, Mexico","Villahermosa, Mexico","Villahermosa, Mexico","Villahermosa, Mexico","Manaus, Brazil","Manaus, Brazil","Manaus, Brazil","Esmeraldas, Ecuador","Mitú, Colombia","February 27, 2019","February 16, 2018","February 25, 2017","January 29, 2016","February 26, 2015",n/a,n/a,n/a,77,n/a,73,77,73,75,72,86,84,90,79,88,"June 7, 2019","June 2, 2018","June 6, 2017","July 17, 2016","July 7, 2015",82,67.42,82.04,72,72.03,73,63,73,61.9,64,93,73,93,89.5,82,n/a,n/a,n/a,n/a,n/a,86,85,85,86.9,87,n/a,n/a,n/a,n/a,n/a,50,54.2,62,63,65.3,n/a,n/a,n/a,n/a,n/a,77.2,76.33,77.7,79,79,,,
Cymbilaimus_lineatus,Fasciated Antshrike,35.79,*,27.5,Pollock et al. 2019,Summer,,,"Paramaribo, Suriname","Paramaribo, Suriname","Paramaribo, Suriname","Apoteri, Guyana","Bélizon, French Guiana","Puerto Maldonado, Peru","Puerto Maldonado, Peru","Cuiabá, Brazil","Puerto Maldonado, Peru","Puerto Maldonado, Peru","January 4, 2019","February 24, 2018","February 12, 2017","January 21, 2016","January 23, 2015",n/a,88,n/a,87,80.56,n/a,86,n/a,84,73,n/a,90,n/a,90,90,"May 4, 2019","May 5, 2018","May 13, 2017","July 15, 2016","June 26, 2015",84.43,77.42,82.26,72,77.26,79,70,73,61.9,64,95,91,93,89.2,91,n/a,n/a,n/a,n/a,n/a,84,85,86,89,85.7,n/a,n/a,n/a,n/a,n/a,65.55,59,64.6,66.7,68.3,n/a,n/a,n/a,n/a,n/a,77,77,78,81,79,,,
Cymbilaimus_lineatus,Fasciated Antshrike,31,36,*,Pollock et al. 2019,Winter,,,"Paramaribo, Suriname","Paramaribo, Suriname","Paramaribo, Suriname","Apoteri, Guyana","Bélizon, French Guiana","Puerto Maldonado, Peru","Puerto Maldonado, Peru","Cuiabá, Brazil","Puerto Maldonado, Peru","Puerto Maldonado, Peru","January 4, 2019","February 24, 2018","February 12, 2017","January 21, 2016","January 23, 2015",n/a,88,n/a,87,80.56,n/a,86,n/a,84,73,n/a,90,n/a,90,90,"May 4, 2019","May 5, 2018","May 13, 2017","July 15, 2016","June 26, 2015",84.43,77.42,82.26,72,77.26,79,70,73,61.9,64,95,91,93,89.2,91,n/a,n/a,n/a,n/a,n/a,84,85,86,89,85.7,n/a,n/a,n/a,n/a,n/a,65.55,59,64.6,66.7,68.3,n/a,n/a,n/a,n/a,n/a,77,77,78,81,79,,,
Eucometis_penicillata,Gray-headed Tanager,29.8,35.5,25.5,Pollock et al. 2019,Summer,,,"Chetumal, Mexico","Valladolid, Mexico","Valladolid, Mexico","Valladolid, Mexico","Valladolid, Mexico","Jardim, Brazil","Jardim, Brazil","San Alfredo, Paraguay","La Victoria, Paraguay","Rio Claro, Brazil","January 21, 2019","January 13, 2018","February 18, 2017","February 8, 2016","February 5, 2015",n/a,70.5,78,66.22,72.23,54,66,72,63,66,75,75,86,72,77,"May 4, 2019","May 5, 2018","June 11, 2017","September 14, 2016","May 9, 2015",73.08,73.33,61.17,73.5,82.67,68,70,44,67,79,77,77,76,80,85,84,83,83,79.8,81,85,77.77,87.7,79.6,83.7,69.5,67.7,70,67.9,66.5,67.2,64,68,62,66,76.7,75.77,77.8,74,74,79,72,80.2,73,77.9,,,
Eucometis_penicillata,Gray-headed Tanager,29.67,35,26,Pollock et al. 2019,Winter,,,"Chetumal, Mexico","Valladolid, Mexico","Valladolid, Mexico","Valladolid, Mexico","Valladolid, Mexico","Jardim, Brazil","Jardim, Brazil","San Alfredo, Paraguay","La Victoria, Paraguay","Rio Claro, Brazil","January 21, 2019","January 13, 2018","February 18, 2017","February 8, 2016","February 5, 2015",n/a,70.5,78,66.22,72.23,54,66,72,63,66,75,75,86,72,77,"May 4, 2019","May 5, 2018","June 11, 2017","September 14, 2016","May 9, 2015",73.08,73.33,61.17,73.5,82.67,68,70,44,67,79,77,77,76,80,85,84,83,83,79.8,81,85,77.77,87.7,79.6,83.7,69.5,67.7,70,67.9,66.5,67.2,64,68,62,66,76.7,75.77,77.8,74,74,79,72,80.2,73,77.9,,,
